title,content
"Date of birth, Parents, Studied Under, 1973, Exhibition, 2006, 2007, 2010","23rd May 1956 in Myeik, U Tun Kyaing ( Author Shwe Myeik Maung and Daw Saw Thi.), Studied at Yangon Fine Art School From 1973 - 1976 Saya Gyi U Thein&#44 Saya U Thu Kha&#44 Saya U Lun Gywe&#44 Saya U Myat Kyaw&#44 U Ba Lone Lay and Saya U Mya Aye., While teaching the first year of painting&#44 he entered comic book world with Moke Soe Gyi Comic ( Bo Tar Yar Ye’ Baw Thone Kyatt), Also drew comic paintings based on ancient Bagan stories and modern stories studies batik Painting from artist Saya Wa Thone and held batik painting shows and group painting shows with fellow artists., 50th Goldern Anniversary painting show with Artist Nang (his wife), Painting show with Artist Nang, A special Solo Show based on ancient Bagan historical battles of heroes on elephants and horses."
"Date of birth, Parents, Studied Under, 1973, Exhibition, 2006, 2007, 2010","23rd May 1956 in Myeik, U Tun Kyaing ( Author Shwe Myeik Maung and Daw Saw Thi.), Studied at Yangon Fine Art School From 1973 - 1976 Saya Gyi U Thein&#44 Saya U Thu Kha&#44 Saya U Lun Gywe&#44 Saya U Myat Kyaw&#44 U Ba Lone Lay and Saya U Mya Aye., While teaching the first year of painting&#44 he entered comic book world with Moke Soe Gyi Comic ( Bo Tar Yar Ye’ Baw Thone Kyatt), Also drew comic paintings based on ancient Bagan stories and modern stories studies batik Painting from artist Saya Wa Thone and held batik painting shows and group painting shows with fellow artists., 50th Goldern Anniversary painting show with Artist Nang (his wife), Painting show with Artist Nang, A special Solo Show based on ancient Bagan historical battles of heroes on elephants and horses."
"Date of birth, Parents, Studied Under, 1973, Exhibition, 2006, 2007, 2010","23rd May 1956 in Myeik, U Tun Kyaing ( Author Shwe Myeik Maung and Daw Saw Thi.), Studied at Yangon Fine Art School From 1973 - 1976 Saya Gyi U Thein&#44 Saya U Thu Kha&#44 Saya U Lun Gywe&#44 Saya U Myat Kyaw&#44 U Ba Lone Lay and Saya U Mya Aye., While teaching the first year of painting&#44 he entered comic book world with Moke Soe Gyi Comic ( Bo Tar Yar Ye’ Baw Thone Kyatt), Also drew comic paintings based on ancient Bagan stories and modern stories studies batik Painting from artist Saya Wa Thone and held batik painting shows and group painting shows with fellow artists., 50th Goldern Anniversary painting show with Artist Nang (his wife), Painting show with Artist Nang, A special Solo Show based on ancient Bagan historical battles of heroes on elephants and horses."
